date,open,high,low,close,volume,year,month,day,day_of_week,quarter
2024-10-29,2565.42,2680.05,2560.15,2637.96,0,2024,10,29,1,4
2024-10-28,2505.59,2587.43,2470.27,2565.35,0,2024,10,28,0,4
2024-10-27,2479.94,2523.17,2462.27,2505.94,0,2024,10,27,6,4
2024-10-26,2436.05,2503.23,2427.46,2479.6,0,2024,10,26,5,4
2024-10-25,2534.45,2563.73,2381.45,2435.93,0,2024,10,25,4,4
2024-10-24,2523.61,2559.15,2506.72,2534.5,0,2024,10,24,3,4
2024-10-23,2620.09,2624.45,2457.17,2509.1,0,2024,10,23,2,4
2024-10-22,2665.66,2669.79,2605.62,2620.2,0,2024,10,22,1,4
2024-10-21,2746.31,2765.55,2655.29,2665.71,0,2024,10,21,0,4
2024-10-20,2648.67,2756.44,2635.95,2746.36,0,2024,10,20,6,4
2024-10-19,2641.49,2661.87,2631.66,2648.66,0,2024,10,19,5,4
2024-10-18,2604.81,2674.37,2595.96,2641.55,0,2024,10,18,4,4
2024-10-17,2611.19,2646.87,2577.31,2604.27,0,2024,10,17,3,4
2024-10-16,2606.02,2644.85,2589.61,2611.1,0,2024,10,16,2,4
2024-10-15,2629.02,2685.17,2537.94,2606.02,0,2024,10,15,1,4
2024-10-14,2467.65,2652.88,2443.55,2628.9,0,2024,10,14,0,4
2024-10-13,2476.52,2484.13,2436.97,2467.68,0,2024,10,13,6,4
2024-10-12,2436.52,2488.24,2434.2,2476.52,0,2024,10,12,5,4
2024-10-11,2383.94,2470.4,2380.5,2436.51,0,2024,10,11,4,4
2024-10-10,2368.27,2417.29,2329.78,2383.86,0,2024,10,10,3,4
2024-10-09,2439.84,2470.91,2350.95,2368.28,0,2024,10,9,2,4
2024-10-08,2421.98,2464.13,2400.51,2439.84,0,2024,10,8,1,4
2024-10-07,2439.94,2520.41,2405.13,2421.8,0,2024,10,7,0,4
2024-10-06,2415.53,2456.63,2407.1,2439.96,0,2024,10,6,6,4
2024-10-05,2414.85,2427.52,2390.84,2415.63,0,2024,10,5,5,4
2024-10-04,2349.73,2440.24,2339.87,2414.79,0,2024,10,4,4,4
2024-10-03,2365.21,2402.86,2311.03,2349.79,0,2024,10,3,3,4
2024-10-02,2448.88,2498.12,2354.54,2365.23,0,2024,10,2,2,4
2024-10-01,2603.26,2657.62,2415.08,2448.92,0,2024,10,1,1,4
2024-09-30,2659.29,2662.49,2576.98,2603.06,0,2024,9,30,0,3
2024-09-29,2677.63,2683.45,2635.58,2659.35,0,2024,9,29,6,3
2024-09-28,2695.82,2704.93,2652.25,2677.54,0,2024,9,28,5,3
2024-09-27,2632.24,2728.07,2616.95,2695.9,0,2024,9,27,4,3
2024-09-26,2579.22,2665.99,2559.95,2632.2,0,2024,9,26,3,3
2024-09-25,2654.36,2672.46,2557.72,2579.39,0,2024,9,25,2,3
2024-09-24,2648.48,2671.28,2593.15,2654.35,0,2024,9,24,1,3
2024-09-23,2582.77,2701.68,2541.91,2648.55,0,2024,9,23,0,3
2024-09-22,2615.85,2632.04,2528.52,2582.86,0,2024,9,22,6,3
2024-09-21,2560.88,2621.62,2530.84,2615.86,0,2024,9,21,5,3
2024-09-20,2464.78,2571.99,2439.38,2561.07,0,2024,9,20,4,3
2024-09-19,2369.37,2492.2,2369.37,2464.75,0,2024,9,19,3,3
2024-09-18,2341.73,2369.73,2278.66,2369.73,0,2024,9,18,2,3
2024-09-17,2295.28,2392.15,2263.79,2341.71,0,2024,9,17,1,3
2024-09-16,2320.89,2334.79,2253.72,2295.28,0,2024,9,16,0,3
2024-09-15,2418.27,2430.38,2286.63,2320.9,0,2024,9,15,6,3
2024-09-14,2441.58,2442.63,2386.98,2418.6,0,2024,9,14,5,3
2024-09-13,2361.74,2462.8,2338.14,2441.61,0,2024,9,13,4,3
2024-09-12,2339.84,2390.19,2316.16,2361.78,0,2024,9,12,3,3
2024-09-11,2389.6,2389.72,2279.05,2339.84,0,2024,9,11,2,3
2024-09-10,2358.5,2398.5,2323.07,2389.58,0,2024,9,10,1,3
2024-09-09,2297.9,2379.79,2274.12,2358.48,0,2024,9,9,0,3
2024-09-08,2274.44,2332.36,2243.91,2297.29,0,2024,9,8,6,3
2024-09-07,2223.93,2310.19,2222.1,2274.11,0,2024,9,7,5,3
2024-09-06,2367.7,2406.51,2150.86,2223.88,0,2024,9,6,4,3
2024-09-05,2448.99,2465.39,2348.86,2367.74,0,2024,9,5,3,3
2024-09-04,2420.19,2488.92,2313.27,2448.98,0,2024,9,4,2,3
2024-09-03,2538.16,2552.8,2419.88,2420.6,0,2024,9,3,1,3
2024-09-02,2427.97,2563.09,2426.1,2538.19,0,2024,9,2,0,3
2024-09-01,2513.42,2515.47,2401.89,2427.9,0,2024,9,1,6,3
2024-08-31,2525.86,2532.39,2493.71,2513.39,0,2024,8,31,5,3
2024-08-30,2528.73,2539.92,2432.83,2525.82,0,2024,8,30,4,3
2024-08-29,2528.36,2595.98,2507.5,2528.79,0,2024,8,29,3,3
2024-08-28,2458.9,2553.82,2422.29,2528.42,0,2024,8,28,2,3
2024-08-27,2681.62,2700.15,2401.18,2458.73,0,2024,8,27,1,3
2024-08-26,2749.25,2763.0,2668.89,2681.34,0,2024,8,26,0,3
2024-08-25,2769.1,2793.01,2736.09,2749.16,0,2024,8,25,6,3
2024-08-24,2765.48,2820.02,2737.78,2769.39,0,2024,8,24,5,3
2024-08-23,2622.92,2799.33,2622.58,2764.45,0,2024,8,23,4,3
2024-08-22,2630.86,2644.82,2587.11,2622.95,0,2024,8,22,3,3
2024-08-21,2573.11,2662.95,2538.66,2631.4,0,2024,8,21,2,3
2024-08-20,2637.31,2695.91,2556.75,2573.11,0,2024,8,20,1,3
2024-08-19,2612.72,2648.28,2566.4,2637.31,0,2024,8,19,0,3
2024-08-18,2614.11,2684.03,2596.74,2613.36,0,2024,8,18,6,3
2024-08-17,2593.17,2626.67,2588.79,2614.55,0,2024,8,17,5,3
2024-08-16,2570.09,2629.38,2553.07,2593.19,0,2024,8,16,4,3
2024-08-15,2662.89,2675.31,2518.67,2570.09,0,2024,8,15,3,3
2024-08-14,2703.59,2775.28,2636.71,2662.91,0,2024,8,14,2,3
2024-08-13,2724.3,2737.99,2613.8,2703.67,0,2024,8,13,1,3
2024-08-12,2553.5,2749.14,2513.39,2724.43,0,2024,8,12,0,3
2024-08-11,2609.97,2718.8,2544.17,2553.25,0,2024,8,11,6,3
2024-08-10,2599.58,2642.93,2580.66,2610.02,0,2024,8,10,5,3
2024-08-09,2683.72,2706.45,2555.23,2599.6,0,2024,8,9,4,3
2024-08-08,2336.92,2721.95,2322.53,2683.35,0,2024,8,8,3,3
2024-08-07,2458.99,2551.56,2312.17,2336.59,0,2024,8,7,2,3
2024-08-06,2417.27,2553.58,2416.53,2458.72,0,2024,8,6,1,3
2024-08-05,2686.03,2695.89,2122.55,2417.21,0,2024,8,5,0,3
2024-08-04,2903.09,2931.47,2639.57,2686.4,0,2024,8,4,6,3
2024-08-03,2985.95,3015.3,2861.18,2903.39,0,2024,8,3,5,3
2024-08-02,3201.6,3214.53,2965.73,2986.01,0,2024,8,2,4,3
2024-08-01,3231.25,3241.78,3078.54,3201.56,0,2024,8,1,3,3
2024-07-31,3278.69,3347.64,3216.07,3231.3,0,2024,7,31,2,3
2024-07-30,3320.64,3365.32,3235.76,3278.67,0,2024,7,30,1,3
2024-07-29,3271.45,3396.63,3257.72,3320.54,0,2024,7,29,0,3
2024-07-28,3247.51,3283.15,3201.76,3271.46,0,2024,7,28,6,3
2024-07-27,3275.89,3327.43,3195.36,3247.61,0,2024,7,27,5,3
2024-07-26,3174.05,3285.76,3172.78,3275.95,0,2024,7,26,4,3
2024-07-25,3336.36,3341.44,3088.76,3174.43,0,2024,7,25,3,3
2024-07-24,3482.15,3487.65,3304.04,3336.34,0,2024,7,24,2,3
2024-07-23,3440.77,3539.53,3395.42,3482.0,0,2024,7,23,1,3
2024-07-22,3536.63,3560.08,3425.8,3440.42,0,2024,7,22,0,3
2024-07-21,3519.43,3546.62,3415.44,3536.61,0,2024,7,21,6,3
2024-07-20,3505.72,3539.9,3482.49,3519.3,0,2024,7,20,5,3
2024-07-19,3425.91,3540.59,3377.88,3505.73,0,2024,7,19,4,3
2024-07-18,3388.03,3488.72,3374.99,3426.26,0,2024,7,18,3,3
2024-07-17,3446.74,3516.1,3379.1,3388.75,0,2024,7,17,2,3
2024-07-16,3486.14,3498.22,3351.78,3443.51,0,2024,7,16,1,3
2024-07-15,3246.13,3494.1,3235.78,3489.55,0,2024,7,15,0,3
2024-07-14,3176.74,3266.49,3166.43,3244.08,0,2024,7,14,6,3
2024-07-13,3134.55,3199.99,3115.08,3177.2,0,2024,7,13,5,3
2024-07-12,3099.99,3154.6,3048.51,3134.16,0,2024,7,12,4,3
2024-07-11,3101.34,3208.94,3057.22,3100.33,0,2024,7,11,3,3
2024-07-10,3066.14,3148.41,3026.61,3102.22,0,2024,7,10,2,3
2024-07-09,3018.8,3105.8,3005.52,3064.03,0,2024,7,9,1,3
2024-07-08,2929.86,3090.66,2826.48,3018.73,0,2024,7,8,0,3
2024-07-07,3067.41,3072.81,2923.96,2929.39,0,2024,7,7,6,3
2024-07-06,2981.99,3080.11,2957.4,3069.38,0,2024,7,6,5,3
2024-07-05,3057.83,3106.15,2826.01,2981.6,0,2024,7,5,4,3
2024-07-04,3291.82,3309.2,3054.52,3054.52,0,2024,7,4,3,3
2024-07-03,3416.25,3426.33,3254.52,3292.92,0,2024,7,3,2,3
2024-07-02,3439.38,3459.76,3399.03,3416.35,0,2024,7,2,1,3
2024-07-01,3432.61,3513.31,3425.32,3440.34,0,2024,7,1,0,3
2024-06-30,3373.08,3453.21,3352.28,3432.89,0,2024,6,30,6,2
2024-06-29,3373.69,3401.73,3369.55,3372.97,0,2024,6,29,5,2
2024-06-28,3445.5,3482.96,3363.44,3373.64,0,2024,6,28,4,2
2024-06-27,3368.89,3470.92,3362.26,3444.8,0,2024,6,27,3,2
2024-06-26,3394.37,3421.51,3328.39,3369.48,0,2024,6,26,2,2
2024-06-25,3350.56,3422.21,3335.56,3395.03,0,2024,6,25,1,2
2024-06-24,3418.78,3430.7,3244.24,3350.26,0,2024,6,24,0,2
2024-06-23,3494.95,3519.32,3408.58,3418.61,0,2024,6,23,6,2
2024-06-22,3516.55,3519.5,3477.17,3494.81,0,2024,6,22,5,2
2024-06-21,3511.27,3542.96,3447.94,3516.08,0,2024,6,21,4,2
2024-06-20,3559.35,3623.89,3485.46,3511.09,0,2024,6,20,3,2
2024-06-19,3482.35,3583.32,3466.48,3559.35,0,2024,6,19,2,2
2024-06-18,3510.57,3514.18,3371.59,3483.68,0,2024,6,18,1,2
2024-06-17,3622.38,3634.29,3468.15,3511.38,0,2024,6,17,0,2
2024-06-16,3566.76,3648.09,3541.53,3620.56,0,2024,6,16,6,2
2024-06-15,3479.79,3589.89,3473.45,3565.55,0,2024,6,15,5,2
2024-06-14,3467.97,3528.6,3366.22,3480.27,0,2024,6,14,4,2
2024-06-13,3559.73,3559.73,3431.33,3469.28,0,2024,6,13,3,2
2024-06-12,3497.9,3652.49,3463.78,3559.62,0,2024,6,12,2,2
2024-06-11,3666.36,3669.89,3434.75,3498.33,0,2024,6,11,1,2
2024-06-10,3705.88,3711.43,3648.16,3666.72,0,2024,6,10,0,2
2024-06-09,3680.94,3719.37,3668.12,3705.9,0,2024,6,9,6,2
